trajectory_id,time_s,time_min,dataset_split,recipe_stage,product,batch_number,season,disturbance_type,source_row_index,window_start_time_min,window_end_time_min,future_time_min,T_K,dTdt_K_min,feed_rate_kg_s,viscosity_proxy,U_kW_m2_K,reaction_rate_kg_s,Q_feed_kW,Q_reaction_kW,Q_jacket_kW,Q_loss_kW,conversion_proxy,solids_fraction,valve_actual_pct
91,33900.0,565.0,train,hold,A,1,winter,none,165586,544.0,565.0,567.6666666666666,355.41183592848296,0.2478886153443348,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,1.91249986663105,-0.4435640306242129,0.999999999982198,0.5680819735827211,50.72979937676247
91,34060.0,567.6666666666666,train,hold,A,1,winter,none,165594,546.6666666666666,567.6666666666666,570.3333333333334,355.30968861318644,0.0432206696111828,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,0.6991008806384497,-0.4429842761712039,0.999999999982198,0.5680819735827211,50.9875825155604
91,34220.0,570.3333333333334,train,hold,A,1,winter,none,165602,549.3333333333334,570.3333333333334,573.0,355.36821114222505,-0.1836410482085349,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,-0.6449018252789505,-0.4433164307335925,0.999999999982198,0.5680819735827211,50.53594391236218
91,34380.0,573.0,train,hold,A,1,winter,none,165610,552.0,573.0,575.6666666666666,355.525036575976,-0.2160181695478422,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,-0.835871752256112,-0.4442065201431697,0.999999999982198,0.5680819735827211,49.349027761663216
91,34540.0,575.6666666666666,train,hold,A,1,winter,none,165618,554.6666666666666,575.6666666666666,578.3333333333334,355.5930640493649,0.1124197120677249,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,1.1107682081982757,-0.4445926216330592,0.999999999982198,0.5680819735827211,47.926085676740826
91,34700.0,578.3333333333334,train,hold,A,1,winter,none,165626,557.3333333333334,578.3333333333334,581.0,355.4128319000485,0.2477427940441373,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,1.9116414130591444,-0.4435696834301483,0.999999999982198,0.5680819735827211,50.73394741155096
91,34860.0,581.0,train,hold,A,1,winter,none,165634,560.0,581.0,583.6666666666666,355.3097588448585,0.0412664099658747,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,0.6875207473171114,-0.4429846747829983,0.999999999982198,0.5680819735827211,50.9835185115298
91,35020.0,583.6666666666666,train,hold,A,1,winter,none,165642,562.6666666666666,583.6666666666666,586.3333333333334,355.3658223074974,-0.1836988953057566,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,-0.6452581732570133,-0.4433028724959938,0.999999999982198,0.5680819735827211,50.535865351471536
91,35180.0,586.3333333333334,train,hold,A,1,winter,none,165650,565.3333333333334,586.3333333333334,589.0,355.52339897510814,-0.2162310964520201,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,-0.8371428068217357,-0.444197225661052,0.999999999982198,0.5680819735827211,49.34723612466582
91,35340.0,589.0,train,hold,A,1,winter,none,165658,568.0,589.0,591.6666666666666,355.5910114977357,0.1136037654326046,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,1.1177730099814334,-0.4445809720273534,0.999999999982198,0.5680819735827211,47.9301982245954
