trajectory_id,dataset_split,product,batch_number,season,disturbance_type,impurity,fouling_resistance,n_points,final_monomer_added_kg,final_monomer_mass_kg,final_polymer_mass_kg,final_conversion_proxy,T_min_K,T_max_K,T_final_K,controlled_mean_abs_error_K,controlled_95_abs_error_K,controlled_within_0p5K_pct,controlled_within_1p0K_pct,max_reaction_heat_kW,min_jacket_heat_kW,max_jacket_heat_kW,max_reaction_rate_kg_s,min_U_kW_m2_K,max_U_kW_m2_K,max_viscosity_proxy,energy_residual_median_abs_kW,energy_residual_max_abs_kW,monomer_residual_median_abs,polymer_residual_median_abs,max_valve_step_pct,max_feed_step_kg_s,stage_sequence
34,train,A,5,summer,none,0.8369882464971572,0.0016015303505361,1801,45.00028277676415,1.1185397267090138e-12,56.22728277676236,0.9999999999821952,294.26,355.8135259627221,355.5843392820296,0.27468457165626103,0.7147899764312,85.39192399049881,99.58432304038006,1.9019567282876175,-6.862751683862846,11.965898717331784,0.002819635200711,0.2282204808526021,1.1092996331671188,578.272286656277,8.770761894538737e-15,3.5541014575812824e-14,9.528311787604705e-13,6.903059540588107e-13,1.9501288308154727,0.0004063171238979,heatup->feed->hold
35,train,A,3,winter,none,1.0003284882628738,0.0008631857875138,1801,45.000401787334056,9.93938389938267e-13,56.227401787332894,0.9999999999821976,277.26,355.81680793392155,355.5269684936378,0.18545909749747574,0.5085689255941304,94.6341463414634,99.63414634146342,2.026697080321116,-6.211641808753128,10.275566303431118,0.0030045617462583,0.2,0.8413970652642733,578.2772119048956,9.325873406851315e-15,3.552713678800501e-14,0.0,0.0,1.599276098612556,0.0005080880435238,heatup->feed->hold
36,train,A,4,summer,feed_temp,0.8865681211661469,0.0012958815970023,1801,45.00044404553509,1.0505658377545718e-12,56.22832056393651,0.9999999999821968,294.26,355.81166660667384,355.2931872625155,0.2709474948395774,0.8480879253634322,82.66346730653869,96.76064787042591,2.063923719504086,-6.959682358888979,11.079227363548396,0.0030597499325526,0.2006433236400001,0.9756546832759918,578.3152364582473,1.482147737874584e-14,3.552713678800501e-14,1.6992649445576096e-14,1.6992649445576096e-14,1.7347263995329172,0.0003918070158812,heatup->feed->hold
37,train,B,4,winter,cooling_water,0.842509321193047,0.0012165863996691,1801,45.002851157355785,8.688386355972782e-13,56.22985115735472,0.9999999999822003,277.26,355.8071506354066,355.5048883818991,0.12535751613020146,0.4610117359624496,96.02203182374541,99.69400244798041,2.1916329606594647,-6.063671588568188,10.17958309568053,0.0032490778317956,0.2,0.8273961326829058,2320.251237357432,2.220446049250313e-15,3.5083047578154947e-14,0.0,0.0,1.578607997182715,0.000485108838219,heatup->feed->hold
38,train,A,5,summer,none,0.8423021476595153,0.0019846975274238,1801,45.00000419638142,9.30759312746728e-13,56.22700419638101,0.9999999999821984,294.26,355.8090313275299,355.4986816042095,0.11737047321535596,0.3939830019836789,97.5103734439834,100.0,2.236165046237085,-5.380786432697905,11.48996693624036,0.0033150962822621,0.2144933567037455,1.042335545282585,578.2607577339317,5.637851296924623e-17,3.558264793923627e-14,0.0,0.0,1.1995551327775544,0.0004875019986958,heatup->feed->hold
39,train,A,5,summer,none,0.955958157063404,0.0020945976196657,1801,45.0001091575668,1.1859652946557332e-12,56.227109157565,0.999999999982194,294.26,355.8509658050868,355.4973456531913,0.08880813155124043,0.2675049302656901,99.70023980815348,100.0,2.188278472980669,-4.399687490827052,10.676528122127245,0.003244104831412,0.2,0.9056470672854464,578.2651014854049,5.724587470723463e-17,3.552713678800501e-14,2.0606502854595235e-14,2.0606501925530747e-14,1.3421053466627413,0.0006141205273678,heatup->feed->hold
40,train,B,2,winter,none,1.0269805560756895,0.00051351793006,1801,45.00171099252686,8.887608541063882e-13,56.23025421893934,0.9999999999822002,277.26,355.8029219653789,355.50171968685794,0.11857723264017561,0.45021029754212805,96.3275135460566,100.0,2.1506703703212158,-5.509755071366478,11.40732390819766,0.0031883511286524,0.2079791095136547,1.0101082938367787,2320.3316308559724,4.440892098500626e-16,3.530509218307998e-14,0.0,0.0,1.3975028363549669,0.0004181337082216,heatup->feed->hold
41,train,B,3,summer,none,0.9029692583441286,0.0009008709992476,1801,45.00139290916151,9.931533380354233e-13,56.22839290916077,0.9999999999821978,294.26,355.81282910550453,355.5583449148237,0.35375941211306394,1.3946690928512593,79.10714285714285,88.63095238095238,2.170761672065665,-6.880884896906864,11.275049278228902,0.0032181363181807,0.2025337710267114,0.9833746673773136,2319.9603971869533,7.993605777301127e-15,3.5360603334311236e-14,0.0,0.0,1.973509674079338,0.0003838783934986,heatup->feed->hold
42,train,A,4,summer,none,0.899842537967459,0.001364216899909,1801,45.00168709527226,9.993010654352248e-13,56.228687095271866,0.9999999999821976,294.26,355.8191844903984,355.6080438518125,0.3297129755228071,1.0573079127908327,79.20143027413587,93.3849821215733,2.308331447570946,-7.098894522959298,11.01568039020854,0.0034220823784667,0.2,0.9595102706403956,578.3304062506448,1.2434497875801753e-14,3.552713678800501e-14,0.0,0.0,1.7192348425407857,0.0005250274327531,heatup->feed->hold
43,train,A,3,winter,none,1.1313418501482635,0.0011349341401845,1801,45.00010166866748,1.0520628672433116e-12,56.22710166866664,0.9999999999821964,277.26,355.81140710256733,355.50089933974124,0.13838110891735594,0.4328187733615209,96.6867469879518,100.0,2.185233729505183,-5.650907635850118,11.095949010751085,0.0032395910242612,0.2016994615779029,0.9809065945591392,578.2647915613654,2.6645352591003757e-15,3.534672554650342e-14,2.4071431702336262e-14,2.407073626509296e-14,1.292329033752921,0.0004100395775365,heatup->feed->hold
44,train,A,3,winter,none,1.0375322268639848,0.001026264120774,1801,45.00042827846743,1.052078576062274e-12,56.22742827846594,0.9999999999821964,277.26,355.8391883403212,355.5224518791381,0.17962471741699754,0.5178525621391713,94.43436176648518,100.0,1.7401288828158468,-5.364285363601473,11.064008763046768,0.002579726751291,0.2,0.9507234343959248,578.2783082436733,5.329070518200751e-15,3.4937330806172895e-14,2.0475300942841512e-08,1.9036059199979173e-08,1.1814763909685553,0.0003906544529815,heatup->feed->hold
45,train,A,4,summer,none,0.9166008170716832,0.0016837994269814,1801,45.00014699839405,1.0818048698975746e-12,56.22714699839227,0.9999999999821958,294.26,355.815913526829,355.6140787647621,0.18910239283446237,0.4908562486787899,95.2067106051528,100.0,1.6479496533659272,-5.113833940789766,10.629928445438368,0.0024430718020664,0.2,0.8956542675858191,578.2666675095927,1.3322676295501878e-14,3.544387006115812e-14,6.084034286204103e-08,5.459034140009589e-08,1.5853969907222663,0.0003821852411893,heatup->feed->hold
46,train,A,4,winter,none,1.000879632168495,0.0015561391980715,1801,45.00055346049641,9.489781367163237e-13,56.22755346049556,0.9999999999821982,277.26,355.824287883368,355.5672592910237,0.2253642428853369,0.5814555838817168,92.08459214501511,100.0,1.999495698752894,-6.026836059476105,11.350029202722492,0.0029642359218917,0.205594356175358,0.9994973448552344,578.283488937459,1.1546319456101628e-14,3.552713678800501e-14,0.0,0.0,1.4374817068796375,0.0004213114081483,heatup->feed->hold
47,train,A,4,summer,none,0.8601981199018658,0.001492605259115,1801,45.00112192695349,9.897023086809233e-13,56.22812192695284,0.9999999999821978,294.26,355.8304672909016,355.50371363061527,0.11378733828112976,0.39142629653453564,98.33333333333333,100.0,1.8000266509313678,-4.795287344183501,11.17349721801229,0.0026685246996936,0.2031235438653932,0.987550125752481,578.307015502001,2.6922908347160046e-15,3.552713678800501e-14,2.4330372059074175e-09,2.4330370999164908e-09,1.3282158713407952,0.0003547326037727,heatup->feed->hold
48,train,A,5,winter,none,1.092656496770254,0.0021898458181395,1801,45.00060952429904,1.0185555413447465e-12,56.22774204160643,0.9999999999821972,277.26,355.73132919214737,355.317617638062,0.3246351618049977,1.084759395695323,74.96984318455972,92.88299155609168,2.1738478910057144,-7.856363409325307,11.534824206823796,0.0032227116123665,0.213296996211967,1.0363542813693205,578.2912934830697,1.554312234475219e-14,3.5416114485542494e-14,2.136365828351985e-14,2.1363533315698327e-14,1.9642636815887258,0.0004103673564937,heatup->feed->hold
49,train,A,1,summer,none,1.0201121366387964,0.0,1801,45.00245125592412,8.750873120793899e-13,56.22945125592354,0.9999999999822002,294.26,355.8515946341246,355.4999872666916,0.07513593100334141,0.3213541983098622,99.28400954653938,100.0,2.2211448150812614,-4.634735663992792,11.00789530987925,0.0032928289131575,0.2,0.9540294352501946,578.3620338194442,5.551115123125783e-17,3.5083047578154947e-14,0.0,0.0,1.5164345242915758,0.0005080948172957,heatup->feed->hold
50,train,B,2,winter,none,1.1947634969676273,0.0004198429208811,1801,45.00048006270959,9.50106141712568e-13,56.22863621547818,0.9999999999821986,277.26,355.8120744961475,355.5376152715693,0.21280751153679842,0.5916937305722059,91.68173598553345,98.73417721518987,2.1480457410981137,-6.867486880364347,11.630180174362438,0.0031844601374241,0.2163505105366552,1.050829950468256,2320.008921453576,7.16093850883226e-15,3.552713678800501e-14,0.0,0.0,1.7378929725048664,0.0004207253618993,heatup->feed->hold
51,train,A,4,summer,none,1.064453143652466,0.0012324753680934,1801,45.00144244170467,9.655314746490029e-13,56.22844244170335,0.9999999999821982,294.26,355.78655766347987,355.6436817246111,0.2801066755358385,1.0218377074284368,77.6386404293381,94.63327370304114,2.299339338246789,-7.766686268070996,10.900248256117232,0.0034087516503792,0.2,0.9313545160803952,578.3202806349072,1.554312234475219e-14,3.552713678800501e-14,0.0,0.0,1.9934814764146154,0.0005591135741731,heatup->feed->hold
52,train,B,4,winter,none,0.8453196150555167,0.0017793447233912,1801,45.000192452159865,1.0387034554873124e-12,56.22719245215901,0.9999999999821966,277.26,355.79014934704304,355.6219575881004,0.21496260323791075,0.9774755293198325,88.55239248940036,95.15445184736522,2.123591594089284,-5.9640050783155,10.715206963013024,0.0031482070656881,0.2,0.9209674481177964,2319.720993084681,1.5765166949677223e-14,3.558264793923627e-14,1.6038530599666362e-14,1.6038530599666362e-14,1.7447065054626734,0.0005009680847584,heatup->feed->hold
53,train,B,1,summer,none,1.1154285471606098,0.0,1801,45.002282892603134,1.2226227133178698e-12,56.2292828926016,0.999999999982194,294.26,355.79515582925575,355.49658632423603,0.09298799789626079,0.4225060425234005,97.376267143709,100.0,2.1536466911069034,-5.262054223423926,11.130555835337416,0.0031927634997285,0.2,0.9664780089951686,2320.1378965320096,5.898059818321144e-17,3.5138558729386205e-14,2.592166732624165e-14,2.592166732624165e-14,1.8337056585951501,0.0004231301193793,heatup->feed->hold
54,train,B,3,winter,none,1.11448075850116,0.0011105316840617,1801,45.000207541385976,1.0527666681734544e-12,56.22720754138484,0.9999999999821964,277.26,355.7723316101634,355.5231158351756,0.18525456003330928,0.6392779459976623,90.89242053789731,99.08312958435208,1.7042810038321898,-5.64143209422221,10.199787544892445,0.0025265825656479,0.2,0.8319736280603097,2319.724002173523,5.329070518200751e-15,3.4861002973229915e-14,3.308039133471213e-08,3.3061203600324995e-08,1.3738542996634848,0.0003365836503634,heatup->feed->hold
55,train,A,3,winter,cooling_water,0.8049589625171043,0.0009415051843987,1801,45.00090229858187,1.056110820759336e-12,56.22790229858088,0.9999999999821964,277.26,355.89591307485074,355.5490620517832,0.26810738273335666,0.8388725698306357,85.55018137847642,97.1584038694075,2.149616805621505,-6.050192330914453,10.91643696184353,0.0031867892276536,0.2,0.9345353560100608,578.2979258762344,1.0769163338864018e-14,3.5638159090467525e-14,1.6442659524584182e-14,1.64425372907606e-14,1.3964792295308612,0.000417012483205,heatup->feed->hold
56,train,B,3,winter,cooling_water,1.0587028219562336,0.0010979645499259,1801,45.00209655622347,9.96502500909089e-13,56.229096556222856,0.999999999982198,277.26,355.8475451069016,355.4974862766772,0.0984739820256017,0.26776670431313787,99.63942307692307,100.0,2.089750673329079,-4.025420846403099,11.50237671139868,0.0030980381790984,0.212521516332555,1.0316661094513668,2320.100732525561,2.220446049250313e-16,3.5138558729386205e-14,0.0,0.0,1.1283648789794256,0.0004503117610499,heatup->feed->hold
57,train,A,2,summer,none,0.8849424439721069,0.0004338091710207,1801,45.000001140013886,1.075461529803008e-12,56.22700114001252,0.999999999982196,294.26,355.85590611243504,355.4911632110652,0.09639299900655132,0.28702096561210055,99.69824984912492,100.0,1.643075509765108,-3.5454453511663035,10.53521236526896,0.0024358459242818,0.2,0.8774122254376592,578.2606312484186,4.551914400963142e-15,3.5110803153770576e-14,1.9478015000060946e-08,1.8927584600342273e-08,1.0368761672165476,0.0004280649400757,heatup->feed->hold
58,train,A,1,summer,none,1.1129092676338437,0.0,1801,45.00119219561217,1.2186500960013058e-12,56.23141980679147,0.9999999999821948,294.26,355.81734833026854,355.794909666885,0.33753977028015414,1.270172831948207,78.13620071684588,90.02389486260454,2.45482706427635,-6.577606120667653,10.776758879554908,0.0036392609248915,0.2,0.9230465759094842,578.4435151766984,1.4876988529977098e-14,3.552713678800501e-14,2.456615133770556e-14,2.456615133770556e-14,1.9648358495583267,0.0004639815592401,heatup->feed->hold
59,train,A,5,summer,cooling_water,0.9739667438464052,0.00206619251379,1801,45.00120990226617,1.1278519878657328e-12,56.22820990226558,0.9999999999821954,294.26,355.83177847074774,355.5027703621469,0.1158860955225092,0.3699444479905677,98.09523809523809,100.0,2.0644380274684893,-5.219112245194582,11.170729815922378,0.0030605123898782,0.2035393154134128,0.9891230262972708,578.3106565114813,5.724587470723463e-17,3.4638958368304884e-14,1.9969217774285016e-14,1.9969217774285016e-14,1.411173411979675,0.0004506245077281,heatup->feed->hold
60,train,A,4,winter,pulse_feed,1.0037996979744748,0.0012246255095518,1801,45.00104289141469,8.59960247114256e-13,56.22804289141357,0.9999999999822,277.26,355.8046381036556,355.5071413680733,0.09985378657405619,0.3612463049115148,98.18071558520315,99.87871437234688,2.1189517635892043,-5.930974130001415,10.532897320992475,0.0031413285551475,0.2,0.8903184141515895,578.3037444944365,1.5543122344752192e-15,3.4861002973229915e-14,0.0,0.0,1.3081464745587112,0.0004388191656353,heatup->feed->hold
61,train,A,4,winter,none,0.961702954258192,0.0015418903083501,1801,45.00000667866072,1.0447743331188325e-12,56.22700667865901,0.9999999999821964,277.26,355.82118839219487,355.51353095060426,0.17040439791957038,0.4935071709042858,95.34598897734232,100.0,1.933126030231589,-5.560407565871167,10.540591588150944,0.0028658434343872,0.2,0.8817451609918977,578.2608604611423,3.1086244689504383e-15,3.547162563677375e-14,2.0750804972584443e-14,2.0750627143568782e-14,1.66528900225331,0.0005122724163691,heatup->feed->hold
62,train,B,1,winter,none,1.0009939960512946,0.0,1801,45.00001158496436,1.233178616120918e-12,56.22701158496355,0.999999999982193,277.26,355.81231032272444,355.4042314813199,0.2168973809317239,0.6880134194569844,92.19035997559487,97.3764490543014,1.8409642986601813,-5.962363510441483,10.502269824548502,0.0027292144256236,0.2,0.87282211062492,2319.684924835686,1.4238610290817633e-14,3.552713678800501e-14,3.659248543512797e-08,3.669926600000052e-08,1.731649742857023,0.0004283745217358,heatup->feed->hold
63,train,B,1,winter,cooling_water,0.9889691592334412,0.0,1801,45.000004769742,1.2133116548294033e-12,56.22704717734359,0.9999999999821936,277.26,355.81561782502143,355.5053627336447,0.16412412807214619,0.528344960782467,94.13919413919413,99.63369963369964,1.7543912033903926,-5.936531911917888,10.816173173732205,0.0026008705241948,0.2,0.9410959131890616,2319.6920225777067,4.884981308350689e-15,3.530509218307998e-14,1.7007147806637726e-08,2.1493871699997374e-08,1.2920993991422662,0.0003904739678601,heatup->feed->hold
64,train,A,3,winter,feed_temp,1.0696823658790264,0.0011845507569066,1801,45.00032486943456,8.837444996871247e-13,56.227324869434106,0.9999999999821996,277.26,355.8050367884507,355.5471038329848,0.2386547908831706,0.6458480796640629,88.62131246237207,99.578567128236,1.733608021711676,-6.110647056187562,11.32717601729158,0.0025700596283566,0.2070160825153607,1.0066984316900882,578.2740286567081,6.661338147750939e-15,3.5360603334311236e-14,5.4210433077585984e-08,4.7896691299969055e-08,1.4035863025647046,0.0003450344123595,heatup->feed->hold
65,train,A,5,winter,none,0.8292635413668592,0.0022756120076422,1801,45.00071637428106,1.0283661938800168e-12,56.22849045586132,0.9999999999821972,277.26,355.80265517480905,355.4259982040707,0.21066899115892804,0.7085216101799687,87.6357056694813,98.79372738238843,2.2650983392594566,-6.782688363608632,11.087237378105511,0.0033579896511095,0.2,0.9663313180433286,578.3222678140066,1.4765966227514582e-14,3.547162563677375e-14,1.6077994423129604e-14,1.6077994423129604e-14,1.5929242277491653,0.0004322244916085,heatup->feed->hold
66,train,A,3,summer,none,1.1686399289608418,0.0011072501581931,1801,45.00042686310651,1.049163579451039e-12,56.22742686310614,0.9999999999821964,294.26,355.79304685247763,355.4964203279768,0.08642645251404496,0.32551852273562076,99.63985594237695,100.0,1.9552911186984652,-4.086776600543583,10.320895618738492,0.0028987029956688,0.2,0.8515721627165961,578.278249668797,1.7763568394002505e-15,3.4861002973229915e-14,2.4277911737038492e-14,2.4277874549197957e-14,1.2160030447046921,0.0004579586190481,heatup->feed->hold
67,train,A,5,summer,feed_temp,1.0929663196559714,0.0016605166228914,1801,45.00000010346089,9.184219265762273e-13,56.22700010346079,0.9999999999821988,294.26,355.81412069543575,355.71506133087377,0.20786367580694934,0.6115559060796585,90.94202898550725,99.7584541062802,1.7580541328093715,-6.369164754716028,10.690422663542323,0.0026063007869205,0.2,0.901117378550537,578.2605883515197,1.4654943925052066e-14,3.552713678800501e-14,2.7289351499918584e-08,2.5772360200007702e-08,1.8682203638662003,0.0004599937812101,heatup->feed->hold
68,train,A,2,winter,feed_temp,1.136196918521792,0.000456121919838,1801,45.00053357270932,1.0990541379432798e-12,56.227533572708566,0.9999999999821956,277.26,355.8045260460366,355.5089186728011,0.09067467697012435,0.3314265457849811,99.22248803827752,100.0,1.955584434084262,-4.65086545848976,11.825688294334952,0.0028991378333149,0.2239242986789079,1.089524619933915,578.2826658735233,1.7763568394002505e-15,3.4861002973229915e-14,2.279925063758985e-14,2.279887261588595e-14,1.20426717769152,0.0004067677458585,heatup->feed->hold
69,train,A,5,summer,none,1.1300964976824952,0.0021645941327567,1801,45.002861004845656,8.945039533451447e-13,56.22986100484507,0.9999999999822,294.26,355.79157878075824,355.4996890937077,0.07895187796924673,0.30262664171151527,99.16617033948779,100.0,2.227733578044028,-5.02254687620426,10.979889123730436,0.0033025967000385,0.2,0.960488600902764,578.3789932805623,5.637851296924623e-17,3.530509218307998e-14,0.0,0.0,1.1248379700400974,0.0004525768736594,heatup->feed->hold
70,train,A,2,winter,none,0.8423539875797427,0.0004856484974359,1801,45.00002683962479,1.2024685644685822e-12,56.22702683962458,0.9999999999821936,277.26,355.81799859500035,355.491357308939,0.10511683970217739,0.3323033496403409,99.08647990255785,100.0,1.6533240339825692,-3.806149445362512,10.790741654081222,0.0024510392771111,0.2,0.8756840525785837,578.261694808092,6.994405055138486e-15,3.552713678800501e-14,3.901377599513037e-08,4.32123948000164e-08,1.233510127885161,0.000355561378709,heatup->feed->hold
71,train,A,4,winter,none,0.9339363457386264,0.001423149487474,1801,45.00109394680586,9.083887456903452e-13,56.228093946805416,0.9999999999821992,277.26,355.77690010735364,355.48563711574724,0.22681017462750536,0.7511838610709215,85.50811785929045,98.31629585087191,2.05650610998495,-6.911066806347022,11.3613851522097,0.0030487533874713,0.2057226250005049,1.0002258061244067,578.3058574989744,1.509903313490213e-14,3.547162563677375e-14,0.0,0.0,1.532345938753636,0.0004261287985622,heatup->feed->hold
72,train,A,3,winter,none,1.189189604030206,0.0009200386364845,1801,45.0000751780873,1.1134196254600674e-12,56.22707517808679,0.9999999999821952,277.26,355.83932287367105,355.53837409881095,0.19790324945153606,0.528198086691824,94.40433212996389,100.0,1.804600786090956,-5.57367484528598,11.654161541985086,0.0026753058174325,0.2183421909701735,1.0619585930547393,578.263695263866,8.43769498715119e-15,3.5541014575812824e-14,1.9519050683890855e-09,4.742218199941042e-09,1.1869280560179618,0.0004589372364019,heatup->feed->hold
73,train,A,4,summer,none,0.9430909452694004,0.0016511017063978,1801,45.00000222497341,1.0972799201550021e-12,56.22700222497185,0.9999999999821956,294.26,355.81816371355706,355.5214364603756,0.21205510868760188,0.5449319125108445,93.595166163142,99.57703927492447,1.9571083992778,-5.723357460184215,10.222108558377595,0.0029013970991754,0.2,0.8407124478534498,578.2606761486389,1.4210854715202004e-14,3.5416114485542494e-14,1.621846917428844e-12,1.6219477021578814e-12,1.422117682104151,0.0005582506231163,heatup->feed->hold
74,train,A,1,winter,none,0.8162613109931424,0.0,1801,45.00004725939549,9.343718950483269e-13,56.22704725939472,0.9999999999821984,277.26,355.81697601719395,355.7333719041135,0.2934812670723944,0.940858886346561,81.16646415552854,96.11178614823815,2.1102157054276263,-6.6322285560578536,10.73369791778998,0.0031283774208017,0.2,0.9182334452254308,578.2625398663855,1.4210854715202004e-14,3.547856453067766e-14,0.0,0.0,1.3237519305629206,0.0005603549477564,heatup->feed->hold
75,train,B,2,winter,none,0.9332194573709254,0.0005582116361761,1801,45.00000370699983,1.2108446648460684e-12,56.22700370699841,0.9999999999821936,277.26,355.8467216014253,355.48764150160883,0.11355928458232406,0.2793633511824507,99.69306322897484,100.0,1.9973424315474992,-3.861233413505246,10.460966668709473,0.0029610437209765,0.2,0.8649180073056603,2319.6833538341475,1.9984014443252818e-15,3.519406988061746e-14,2.2606526442475116e-14,2.2606526442475116e-14,1.102893810115802,0.0006137374553709,heatup->feed->hold
76,train,A,5,winter,feed_temp,1.0963846508667507,0.0021914350124318,1801,45.00018801363412,1.1837761776122413e-12,56.2271880136321,0.999999999982194,277.26,355.8439971172049,355.54360217275234,0.30076701438971526,0.9915217431453864,78.26876513317191,95.27845036319611,2.099722908671554,-5.839153860137464,10.950631701642989,0.0031128219359438,0.2,0.9414797839245826,578.2683649087246,8.770761894538737e-15,3.552713678800501e-14,2.5638870207751537e-14,2.563853355911095e-14,1.7661896526851848,0.0004305978121818,heatup->feed->hold
