trajectory_id,dataset_split,product,season,batch_number,disturbance_type,T_min_K,T_max_K,final_monomer_added_kg,max_reaction_heat_kW,min_U_kW_m2_K,max_viscosity,max_valve_pct,min_valve_pct,max_feed_rate_kg_s,mean_abs_T_error_K,p95_abs_T_error_K,within_0p5K_pct,within_1p0K_pct
124,train,A,summer,4,none,294.26,355.7882003422502,45.00031166953103,1.868772320018444,0.2,578.2734823797512,50.95858367811647,47.43122695894724,0.0027269533274917,0.09974373059764985,0.3740486698104802,98.1547619047619,100.0
125,train,A,summer,2,none,294.26,355.8240530935853,44.99999999999997,1.8433418857945465,0.2180364541356115,578.2605840698754,51.80034491611944,45.75726020759688,0.0026996803841976,0.31492434185504653,0.9707051999769192,79.23399162178336,95.51166965888689
126,train,B,summer,5,none,294.26,355.7831850465682,45.0023377882291,1.999998220036056,0.2079323451430655,2320.1488453203683,51.51950934791058,46.35101503160995,0.0029181802946303,0.18324135812193137,0.5089605100981884,94.71496437054631,99.8812351543943
127,train,B,summer,5,none,294.26,355.8444211352,45.00064246357167,1.937242149342124,0.2,2319.810735507345,51.40076879239694,47.02254050086719,0.0028320553410495,0.10497444478855827,0.33220574975342737,99.22155688622755,100.0
128,train,A,winter,3,none,277.26,355.81377718908993,45.00067655677075,1.95256398525129,0.2069861544609098,578.2885833441754,51.46885001289039,46.97311248376244,0.0028843913187354,0.2124923033964734,0.5531737269971586,93.55809753160746,99.69897652016857
129,train,A,winter,2,pulse_feed,277.26,355.81371818926414,45.00016100058284,2.1966865278081795,0.2190158189027472,578.585225093318,51.42778833123107,47.273588896350326,0.003246163400348,0.2892837117652712,0.8083827317606046,81.4207650273224,99.08925318761385
130,train,A,summer,1,none,294.26,355.8100225179815,45.00058803159381,2.147731618842975,0.2,578.2849196779798,51.19670381678562,46.815881416085546,0.0031259325836394,0.18972632952246243,0.5713136992678812,92.76315789473685,99.88038277511961
131,train,B,summer,4,none,294.26,355.79295854411384,45.00401736927846,2.3545984188889437,0.2065538319709836,2320.4838524526917,51.30875628267981,46.56761879794225,0.0034643119157453,0.11646356087713564,0.46318848527244244,95.78384798099762,99.10926365795724
132,train,B,summer,4,none,294.26,355.8541639778752,45.00107440936506,2.173041166309101,0.2,2319.935550279105,51.9872362428298,46.67942016077146,0.0032119729469283,0.1936546295985261,0.6626227095334059,90.71856287425149,99.76047904191617
133,train,A,winter,4,none,277.26,355.72515113070284,45.00000594518014,1.886778243828421,0.224827146862029,578.2608301066231,51.32239661925682,47.54148535452001,0.0027916303916511,0.3583404540571814,0.7910035032084011,74.69879518072288,98.855421686747
134,train,B,summer,2,none,294.26,355.83027434946086,45.00111659666396,1.813299834043269,0.2119341809835,2319.905291210191,51.88594175625758,46.07761402174624,0.0026815197469919,0.2164736208632366,0.6122680358961696,90.81209247184351,99.4665085951393
135,train,B,summer,3,none,294.26,355.8455850135144,45.001418078015554,1.8023515000361805,0.2113947202948051,2319.965416750037,51.23636126008077,47.53813282253971,0.0026380696663929,0.09165180267035995,0.34133192873085816,99.04931669637553,100.0
